// Status Change configuration database
//
// Structure of Database:
// SC_NAME, flag
//
// flag    1  - SC cannot be removed by death.
//         2  - SC cannot be saved.
//         4  - SC cannot be reset by dispell.
//         8  - SC cannot be reset by clearance.
//         16 - SC considered as buff and be removed by Hermode and etc.
//         32 - SC considered as debuff and be removed by Gospel and etc.
//         64 - SC cannot be reset when MADO Gear is taken off.
//        128 - SC cannot be reset by 'sc_end SC_ALL' and status change clear.
//        256 - SC can be visible for all players
// Example:
// SC_ENDURE, 21 //SC_ENDURE: cannot be removed by death and dispell and cosidered as buff. (16 + 4 + 1 = 21)

SC_ANALYZE, 28
SC_LERADS_DEW, 28
SC_MELODYOFSINK, 28
SC_BEYOND_OF_WARCRY, 28
SC_UNLIMITED_HUMMING_VOICE, 28
SC_WARMER, 2
SC_VENOMIMPRESS, 260
SC_FROSTMISTY, 288
//SC_ASSUMPTIO2, 16
//SC_GN_TRAINING_SWORD, 31
//SC_GN_REMODELING_CART, 31
SC_STOMACHACHE, 32
SC_MYSTERIOUS_POWDER, 32
//SC_ELEMENTAL_AGGRESSIVE, 2
//SC_ELEMENTAL_WAIT, 2
//SC_ELEMENTAL_PASSIVE, 2
//SC_ELEMENTAL_DEFENSIVE, 2
SC_WATER_BARRIER, 2
SC_ZEPHYR, 2
SC_POWER_OF_GAIA, 2
SC_FIRE_INSIGNIA, 2
SC_WATER_INSIGNIA, 2
SC_WIND_INSIGNIA, 2
SC_EARTH_INSIGNIA, 2
SC_MORA_BUFF, 2
//SC_REUSE_LIMIT_G, 29
//SC_REUSE_LIMIT_H, 29
SC_NEEDLE_OF_PARALYZE, 1
SC_PAIN_KILLER, 1
SC_G_LIFEPOTION, 68
//SC_VITALIZE_POTION, 4
SC_LIGHT_OF_REGENE, 1
//SC_SONIC_CLAW_POSTDELAY, 2
//SC_SILVERVEIN_RUSH_POSTDELAY, 2
//SC_MIDNIGHT_FRENZY_POSTDELAY, 2
//SC_TINDER_BREAKER, 2
//SC_TINDER_BREAKER_POSTDELAY, 2
//SC_CBC, 2
//SC_CBC_POSTDELAY, 2
//SC_EQC, 2
SC_MAGIC_CANDY, 92
//SC_ALL_RIDING_REUSE_LIMIT, 1
//SC_HANDICAPSTATE_DEEP_SLEEP, 80
SC_MONSTER_TRANSFORM, 268
SC_MTF_ASPD, 12
SC_MTF_RANGEATK, 12
SC_MTF_MATK, 12
SC_MTF_MLEATKED,12
SC_MTF_CRIDAMAGE, 12
SC_FULL_THROTTLE, 18
SC_REBOUND, 18
SC_TELEKINESIS_INTENSE, 18

// Geffen Scrolls
SC_SKELSCROLL, 69
SC_DISTRUCTIONSCROLL, 69
SC_ROYALSCROLL, 69
SC_IMMUNITYSCROLL, 69
SC_MYSTICSCROLL, 69
SC_BATTLESCROLL, 69
SC_ARMORSCROLL, 69
SC_FREYJASCROLL, 69
SC_SOULSCROLL, 69

// Eden Crystal Synthesis
SC_QUEST_BUFF1, 13
SC_QUEST_BUFF2, 13
SC_QUEST_BUFF3, 13

// Geffen Magic Tournament
SC_GEFFEN_MAGIC1, 14
SC_GEFFEN_MAGIC2, 14
SC_GEFFEN_MAGIC3, 14

SC_OVERLAPEXPUP, 12
SC_M_LIFEPOTION, 68

// Guild Auras should not be saved
SC_LEADERSHIP,78
SC_GLORYWOUNDS,78
SC_SOULCOLD,78
SC_HAWKEYES,78
SC_GDSKILL_REGENERATION,78

SC_ORCISH, 2

// Unremovable
SC_WEIGHTOVER50, 207
SC_WEIGHTOVER90, 207
SC_WEDDING, 77
SC_XMAS, 77
SC_SUMMER, 77
SC_NOCHAT, 205
SC_FUSION, 77
SC_EARTHSCROLL, 77
SC_STORMKICK_READY, 77
SC_DOWNKICK_READY, 77
SC_COUNTERKICK_READY, 77
SC_TURNKICK_READY, 77
SC_DODGE_READY, 77
SC_JAILED, 205
SC_AUTOTRADE, 77
SC_DANCING, 12
SC_WHISTLE, 79
SC_ASSNCROS, 79
SC_POEMBRAGI, 79
SC_APPLEIDUN, 79
SC_HUMMING, 79
SC_DONTFORGETME, 79
SC_FORTUNE, 79
SC_SERVICEFORYOU, 79
SC_INCHIT, 77
SC_PUSH_CART, 461
SC_COLD, 256
SC_BLOOD_SUCKER, 256

// Costumes
SC_MOONSTAR, 463
SC_SUPER_STAR, 463
SC_STRANGELIGHTS, 463
SC_DECORATION_OF_MUSIC, 463
SC_LJOSALFAR, 463
SC_MERMAID_LONGING, 463
SC_HAT_EFFECT, 463
SC_FLOWERSMOKE, 463
SC_FSTONE, 463
SC_HAPPINESS_STAR, 463
SC_MAPLE_FALLS, 463
SC_TIME_ACCESSORY, 463
SC_MAGICAL_FEATHER, 463
SC_BLOSSOM_FLUTTERING, 463

// Summoner
SC_SPRITEMABLE, 205
SC_BITESCAR, 4

// Cant Clear
SC_ALL_RIDING, 397

SC_DAILYSENDMAILCNT, 461
